"Status","Name","Duration in ms","Description"
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","1",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","1",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_division","1",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","1",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","1",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","0",""
"passed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_sub","1",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_add","0",""
"failed","test_pytest.test_pytest_task_two.test_task_two.TestTaskTwo#test_multiplication","1",""
